Export;EXP-2023-01 (20230707 04:39);;;StationsCode;NL01483;NL01485;NL01486;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01908;NL10107;NL10131;NL10133;NL10136;NL10137;NL10138;NL10227;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10245;NL10246;NL10247;NL10301;NL10318;NL10404;NL10411;NL10418;NL10433;NL10437;NL10442;NL10444;NL10445;NL10446;NL10520;NL10537;NL10538;NL10547;NL10548;NL10549;NL10631;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938;NL49002;NL49003;NL49007;NL49012;NL49014;NL49017;NL49019;NL49020;NL49021;NL49022;NL49546;NL49551;NL49553;NL49561;NL49564;NL49565;NL49701;NL49703;NL49704;NL53001;NL53004;NL53015;NL53016
NO2;uur;µg/m³;20130718 20:00;20130718 21:00;24.2;22.5;25.1;10.5;9.8;6.6;10;15.4;21;15.3;3.6;;8.6;8.7;8.19;30.44;12.78;;;11.69;10.46;18.92;17.4;10.59;10.38;;8.4;8.41;18.32;22.94;9.43;;11.12;22.14;11.25;8.66;2.74;28.59;18.68;;30.14;3.42;7.39;;4.81;4.56;4.71;6.86;13.46;6.37;10.93;8.04;4.84;4.91;49.76;25.83;1.55;3.81;5.56;6.98;6.92;36.76;6.09;16;2;36;13;11;;8;20;4;8;4;38;3;20.5;22.5;10;6;11;6;;;15.3;10
NO2;uur;µg/m³;20130718 21:00;20130718 22:00;25.6;24.7;18.5;7.9;9.3;7.9;13.3;12.8;22.2;18;6.1;;9.44;17.52;10.13;37.01;15.88;;;15.17;14.44;14.32;16.82;11.96;11.54;;8.41;8.66;19.8;38.38;12.96;;10.22;23.53;8.8;7.11;3.76;27.79;14.21;;27.24;3.99;8.39;;6.29;5.08;5.79;9.84;12.63;10.25;13.11;8.46;4.69;6.06;36.39;30.13;2.32;6.04;6.86;8.51;6.09;44.72;8.21;22;3;36;;12;27;10;28;5;10;6;31;5;23.5;28.5;15;6;13;6;;;14.8;9.8
NO2;uur;µg/m³;20130718 22:00;20130718 23:00;28.6;27.2;24;9.3;10.9;7.2;13.6;12.7;23.4;25.9;5.8;;10.61;19.28;13.32;30.5;15.04;;;21.09;13.3;11.02;12.99;12.15;12.34;;9.8;8.81;15.79;26.6;14.88;;13.24;24.76;10.81;8.41;3.53;29.05;16.19;;17.9;3.07;7.56;;6.16;5.43;4.77;11.46;9.84;9.02;10.55;8.97;5.15;6.6;32.94;22.55;2.26;4.93;8.83;9.59;5.97;26.31;8.88;17;2;49;9;11;39;11;23;2;13;8;20;5;18.5;27.5;13;5;22;7;;;16.3;8.1
NO2;uur;µg/m³;20130718 23:00;20130719 00:00;39.9;22.4;21;6.8;10.8;6.5;15.5;12.5;23.1;21.2;6.2;;8.25;16.31;10.61;24.99;14.35;;;16.39;12.21;9.81;10.82;10.09;9.42;;10.33;8.24;16.87;21.39;12.13;;10.65;25.36;9.94;14.31;3.61;21.53;13.32;;16.99;6.69;7.18;;5.98;5.47;3.55;8.78;9.31;8.76;7.62;8.89;6.15;7.11;33.91;24.2;3.56;6.11;7.7;8.61;5.94;23.03;6.8;25;3;55;9;12;30;15;19;3;9;7;23;6;20;24.5;13;7;36;9;;;26.7;8.7
NO2;uur;µg/m³;20130719 00:00;20130719 01:00;47.9;15.1;13.2;7.5;13.4;6.8;11.3;11;17.8;11.7;7.1;;10.37;9.92;10.28;14.29;14.8;;;14.46;10.82;9.27;9.32;9.77;10.29;;19.34;8.75;22.11;16.22;15.44;;9.62;14.37;7.37;17.37;5.65;24.08;16.54;;18.13;3.89;7.22;;6.56;7.28;7.77;9.35;9.39;8.73;9.46;10.29;9.49;8.09;27.51;;6.13;8.07;6.78;8.9;9.04;11.75;5.46;22;2;37;9;11;31;9;15;3;12;6;41;5;15;26.5;13;5;29;8;;;19.9;7.4
NO2;uur;µg/m³;20130719 01:00;20130719 02:00;38.7;13;13.1;5.8;12.5;7.6;6.5;9.4;10.8;11.7;9.1;;12.34;12.77;10.1;14.81;14.03;;;16.22;12.7;9.38;10.8;10.92;8.37;;27.89;8.83;20.58;18.76;13.02;;7.81;8.94;7.38;16.08;5.61;21.95;18.43;;10.25;6.02;7.18;;6.54;5.89;6.1;8.32;8.7;7.24;9.52;8.85;10.33;9.6;28.21;;8.05;6.88;7.75;8.88;6.89;16.04;7.66;15;1;43;6;11;26;13;13;2;8;7;14;7;17;22;12;6;45;8;;;16.9;7
NO2;uur;µg/m³;20130719 02:00;20130719 03:00;34.3;12.6;13.9;5.1;11;7.2;6.4;9;10.4;13.8;10.1;;15.48;14.92;12;16.16;14.49;;;17.22;9.61;10.26;10.76;9.1;8.34;;21.2;9.08;12.29;22.86;12.64;;7.35;8.43;9.64;19.07;4.34;20.34;20.16;;12.23;6.19;7.37;;6.77;7.32;6.63;8.42;9.38;5.91;8.8;8.83;10.83;9.3;27.97;;8.83;5.97;5.1;7.92;7.5;11.27;7.01;21;1;38;6;9;25;12;15;3;12;6;29;6;16;24;10;6;30;8;;;17;5.8
NO2;uur;µg/m³;20130719 03:00;20130719 04:00;32.3;23.3;19.1;1.7;6.7;7.1;7.1;11.5;12.5;17.1;10.5;;17.69;15.91;11.72;24.99;13.87;;;17.82;8.86;11.7;12.32;10.68;9.83;;22.53;10.61;9;26.79;14.96;;7.45;9.6;7.28;19.31;4.06;19.31;17.99;;17.2;7.65;6.48;;5.09;8.13;6.16;11.17;10.77;10.25;12.25;10.09;10.85;12.99;29.5;;11.17;6.14;6.96;8.25;6.66;7.58;6.08;35;2;46;12;11;23;13;37;4;18;7;42;5;24.5;31.5;11;7;22;9;;;19.7;6.5
NO2;uur;µg/m³;20130719 04:00;20130719 05:00;47.9;31.6;26.7;8.4;13.5;8.2;11;16.4;32.4;24.3;12.2;;19.6;17.67;12.38;34.5;13.89;;;16.68;9.73;12.53;13.2;18.9;9.63;;31.55;12.47;7.79;24.84;18.43;;10.53;16.71;12.76;25.29;5.61;27.06;21.37;;18.91;4.11;10.55;;6.68;7.23;7.03;15.3;13;10.58;13.05;11.51;10.83;21.98;46.04;;13.41;6.18;7.04;8.82;7.65;12.88;5.36;44;6;65;19;13;30;15;52;9;25;8;27;5;59.3;39.5;28;9;16;13;;;26.8;8.5
NO2;uur;µg/m³;20130719 05:00;20130719 06:00;70;47.9;33.3;21.1;21.8;12.2;24.3;30.9;58.5;30.9;20.8;;19.78;18.9;19.78;31.82;19.32;;;18.26;10.46;18.63;16.43;18.61;13.7;;31.71;14.71;9.7;25.24;26.12;;21.28;31.36;19.04;24.82;4.92;33.35;42.16;;32.6;4.87;19.22;;7.83;7.15;10.25;24.06;20.32;14.3;29.66;13.99;11.62;18.15;38.75;;14.29;10.44;6.79;7.88;9.61;30.4;8.03;37;9;81;27;20;54;19;55;16;25;15;30;5;58.8;42.1;45;17;17;30;;;23.9;13.4
NO2;uur;µg/m³;20130719 06:00;20130719 07:00;64.5;48.3;37.6;28.6;30.6;14.5;25;30.7;53.6;25.1;18.3;;20.11;15.38;22.78;33.06;23.66;;;16.7;12.18;17.35;25.16;35.71;13.53;;24.2;15.59;11.05;21.87;28.92;;29.66;29.97;19.62;36.03;4.64;46.16;52.62;;37.19;2.22;22.14;;11.11;7.02;11.75;27.92;25.32;14.69;28.84;18.92;12.41;14.21;35.66;;10.81;12.3;6.93;6.85;5.39;39.89;7.9;32;8;76;25;25;55;22;39;6;22;23;29;9.5;45.3;52.2;30;18;37;16;;;25.7;14.8
NO2;uur;µg/m³;20130719 07:00;20130719 08:00;47.5;34.3;31.7;18.6;26;12.7;16.9;26.8;35.9;20.8;23.1;;22.04;10.49;21.4;34.93;25.9;;;12.64;11.09;19.37;23.57;35.06;14.11;;24.13;11.77;10.25;14.1;25.55;;22.05;20.05;14.06;28.34;5.79;43.9;26.75;;33.41;1.46;20.28;;12.27;4.4;9.67;14.6;28.59;8.22;15.01;18.38;13.81;10.81;32.13;;8.04;4.99;6.4;6.33;7.06;29.64;3.73;19;4;66;18;19;47;29;24;6;14;17;14;14.1;28.2;28.2;19;16;22;12;;;34.3;18
NO2;uur;µg/m³;20130719 08:00;20130719 09:00;41.6;51.4;29.1;11.9;13.6;10.6;10.3;18.1;29.7;19.1;16;;20.31;7.52;20.36;33.33;23.08;;;12.65;8.55;15.34;15.26;27.25;13.56;;18.47;7.91;9.89;10.61;23.55;;14.01;18.13;10.2;16.1;12.05;41.9;26.62;;33.87;1.94;15.86;;5.61;4.43;6.4;11.3;18.72;5.46;10.63;13.38;10.51;8.96;22.33;;6.58;3.44;8.05;6.61;5.66;27.67;3.27;22;2;54;15;15;37;21;26;6;6;5;12;13.6;22.6;19.1;11;7;11;4;;;27.3;17.8
NO2;uur;µg/m³;20130719 09:00;20130719 10:00;33.5;37.4;29.9;9.1;12.3;9;10.5;13;24.1;16.6;9.3;;19.64;6.09;19.34;28.08;18.41;;;9.62;8.96;14.78;17.36;23.57;10.5;;14.74;7.4;8.11;14.74;19.6;;14.27;13.66;8.36;11;11.38;32.42;9.65;;35.31;3.66;9.07;;3.75;3.25;5.16;8.96;18.44;3.3;9.57;9.58;7.04;7.47;14.94;;4.66;5.1;5.86;4.74;5.77;24.77;1.82;18;2;44;15;15;33;12;22;6;3;4;11;6.5;24.7;19.6;7;5;6;4;;;24.2;14.6
NO2;uur;µg/m³;20130719 10:00;20130719 11:00;24.3;27.5;21.4;5.7;11;7.4;8.1;16.5;21.8;9;9.5;;14.92;4.45;12.8;26.04;14.05;;;7.81;7.93;14.5;14.89;17.39;9.35;;11.95;6.44;6.15;11.21;12.92;;11.13;10.52;6.7;15.36;6.96;21.61;6.73;;29.24;2.41;10.4;;2.2;2.06;2.95;7.4;11.75;3.04;8.03;8.25;5.9;7.06;13.04;10.18;3.56;3.75;2.98;2.65;4.57;20.49;1.57;16;3;49;15;15;37;14;20;5;4;5;14;7.5;20.6;13.6;6;5;4;4;;;17.3;15.7
NO2;uur;µg/m³;20130719 11:00;20130719 12:00;22.7;21.1;20.6;6;8.4;7.4;6.8;12.4;17.3;6;8;;14.88;3.88;11.98;26.67;14.44;;;8.02;6.01;13.15;13.61;16.78;7.25;;10.38;5.06;5.89;9.12;9.01;;11.45;8.58;6.25;10.81;4.79;21.37;6.67;;26.52;1.3;9.12;;2.37;1.89;3.31;6.53;16.64;3.78;9.16;6.72;4.26;3.96;12.39;6.87;3.48;2.42;3.33;1.8;4.21;17.5;1.13;16;3;44;14;14;40;15;16;3;2;5;10;6.5;14.6;11.1;8;5;4;4;;;14.2;12.1
NO2;uur;µg/m³;20130719 12:00;20130719 13:00;20.9;19.2;18.5;7.9;7.7;6.3;5.1;9.5;19.3;5.3;6;;10.9;2.88;9.47;21.89;11.3;;;4.2;5.27;15.19;14.29;14.19;5.41;;6.85;4.63;6.91;7.11;8.85;;8.78;7.6;5.49;5.5;3.43;20.72;6.9;;39.33;1.13;12.22;;3.84;1.18;3.97;7.29;10.31;3.44;9.11;5.94;4.54;4.45;17;8.14;2.54;1.75;1.75;1.46;5.26;18.38;1.55;20;2;48;13;12;36;18;16;5;3;7;16;3;19.1;11.1;8;6;4;5;;;15.8;10.3
NO2;uur;µg/m³;20130719 13:00;20130719 14:00;18.9;19.2;16.2;9.2;8.6;6.2;5.4;13.9;22.2;4.7;5.6;;6.23;2.66;10.32;23.88;11.61;;;4.27;3.9;10.33;15.12;13.01;8.64;;6.23;3.9;5.88;6.76;10.53;;10.38;10.74;5.11;7.82;2.64;26.34;6.63;;34.55;1.64;9.73;;2.39;0.95;4.12;5.91;15;3.64;9.21;5.34;4.19;3.72;21.03;10.34;2.17;2.31;1.76;1.49;4.46;23.9;1.72;18;2;56;11;11;47;18;18;2;4;5;11;4.5;20.1;12.1;9;6;6;5;;;18.3;11.1
NO2;uur;µg/m³;20130719 14:00;20130719 15:00;21.2;19.3;15.3;10.9;9.5;4.8;3.9;8.2;20.3;5.1;5.8;;4.12;3.09;10.45;26.44;10.61;;;4.18;3.53;14.58;18.01;14.16;4.41;;4.91;3.43;5.8;6.47;9.34;;9.79;10.65;4.87;8.23;0.92;34.22;7.2;;37.62;1.05;4.66;;1.79;0.99;4.26;5.94;12.31;1.88;9.42;4.75;3.44;4.73;18.54;12.52;1.53;0.77;2.24;1.82;4.53;25.85;2.4;16;1;48;10;9;36;20;17;1;3;4;17;3;17.1;14.6;11;4;4;4;;;15.3;11.4
NO2;uur;µg/m³;20130719 15:00;20130719 16:00;17.2;14.3;16.4;11.9;7.7;4.2;4.6;9.6;20;5.9;4;;4.63;3.02;7.4;25.73;14.01;;;4.39;4.26;20.29;17.08;13.14;5.53;;7.08;3.79;8.5;7.47;10.08;;7.64;9.6;4.64;6.58;1.49;23.04;11.66;;42.5;1.05;5.89;;1.78;1.27;1.86;3.71;10.84;1.69;6.62;3.67;3.52;4.53;28.76;9;1.38;1.49;1.59;2.74;5.13;24.62;1.66;15;1;45;10;8;42;20;15;1;2;5;18;2;15.6;10.1;10;5;4;4;;;17.3;13.5
NO2;uur;µg/m³;20130719 16:00;20130719 17:00;17.5;18.7;19;8.6;7.6;4;5.9;10.1;18.8;8.1;3.4;;4.14;3.23;5.24;22.31;11.92;;;4.69;4.52;22.12;23.45;11.99;6.16;;4.56;4.26;10.61;5.91;8.79;;8.47;10.69;3.66;4.6;3.33;21.23;12.62;;37.08;1.26;5.67;;1.38;3.28;2.34;3.65;11.5;2.26;6.29;3.1;3.62;2.38;31.29;9.44;1.53;1.39;1.8;2.21;4.96;20.72;1.68;13;1;43;8;8;38;7;15;1;2;3;14;4.5;16.6;11.1;9;3;9;3;;;17.8;12.9
NO2;uur;µg/m³;20130719 17:00;20130719 18:00;15.1;19.4;16;7;8.4;3.3;5.4;10.7;16.8;10.6;3.3;;4;2.94;4.75;19.05;8.42;;;5.44;4.21;18.95;15.13;5.68;12.57;;2.55;5.4;10.61;8.23;9.03;;8.57;11.58;4.63;4.59;4.36;16.93;11.73;;38.84;1.61;5.03;;1.53;2.1;1.91;4.1;10;2.4;5.72;3.09;3.94;2.13;32.3;11.96;1.99;1.43;1.61;2.4;5.28;15.89;1.5;14;1;42;9;8;28;7;12;1;1;3;15;3;;9.5;10;3;3;3;;;12.2;9.5
NO2;uur;µg/m³;20130719 18:00;20130719 19:00;18.1;16.3;13;10.4;7.3;4.1;6.3;11.8;16.4;10.7;3.3;;4.23;3.85;4.57;15.37;6.53;;;5.09;5.01;21.37;11.21;5.08;8.34;;2.09;5.37;10.36;8.93;9.58;;8.93;11.98;4.26;5.09;4.49;20.05;11.73;;31.39;1.18;5.55;;1.67;1.7;2.26;4.28;11.56;3.24;5.91;2.91;4.84;2.48;25.9;10.72;1.92;1.89;1.38;1.41;5.33;12.36;1.3;14;0;28;8;;31;6;11;1;2;2;21;4;13.1;7.5;10;3;4;3;;;15.8;7.9
NO2;uur;µg/m³;20130719 19:00;20130719 20:00;16.1;18.7;22;9.2;8.1;3.9;5.5;12.8;16.9;11.6;6;;4.19;4.97;7;16.62;6.83;;;6.66;4.44;16.17;13.12;5.58;8.16;;2.95;5.89;12.87;13.5;10.86;;10.17;10.96;4.81;5.95;7.74;18.27;14.8;;29.43;1.44;5.55;;2.64;2.02;3.28;4.37;10.16;3.2;6.46;4.35;5.42;2.61;54.74;23.51;2.02;1.7;1.58;2.05;5.23;10.75;2.12;14;1;29;9;;26;5;12;3;3;3;28;2;16.1;8.5;6;3;10;3;;;13.2;10.2
NO2;uur;µg/m³;20130719 20:00;20130719 21:00;19.2;15.4;15.1;9;9.2;5.3;8.1;12.7;20.8;13.6;4.8;;5.67;8.45;7.86;14.88;7.73;;;9.25;5.22;21.02;14;6.41;10.01;;6.44;7.44;12.4;11.09;8.54;;10.71;20.77;7.19;7.9;5.61;23.93;21.68;;20.73;1.58;5.32;;3.65;3.06;5.12;4.83;16.06;5.22;7.24;5.33;6.04;4.26;49.25;17.43;3.17;2.28;4.37;2.76;5.22;8.79;1.79;18;;28;14;10;27;13;23;3;5;3;33;2;14.5;14.5;6;5;5;3;;;14.7;11.2
NO2;uur;µg/m³;20130719 21:00;20130719 22:00;23.2;20.6;17.2;6.2;7.7;5.8;11.2;17.1;24.1;17.8;2.5;;7.07;11.79;10.35;16.84;6.31;;;10.19;11.92;13.13;17.67;9.83;11.36;;7.04;10.03;14.67;8.52;7.78;;10.52;20.46;10.02;8.3;10.38;21.52;20.84;;21.56;2.04;6.03;;2.47;4.39;4.39;4.65;18.76;8.68;7.07;5.86;5.74;4.96;59.41;21.34;3.64;2.88;2.55;2.59;5.2;5.85;1.94;21;8;29;12;10;26;18;31;3;11;4;32;3;18.5;16;8;6;9;;;;15.8;8.5
NO2;uur;µg/m³;20130719 22:00;20130719 23:00;22.1;30.7;25.3;21.8;15;5.5;20.5;21.2;26.3;21.5;3.3;;7.62;14.29;9.15;16.55;8.5;;;11.92;13.83;13.12;17.42;12.18;11.55;;8.44;9.9;15.34;12.29;8.26;;18.21;20.85;9.63;8.63;9.84;21.76;17.4;;18.14;3.34;6.79;;2.61;3.52;5.16;5.23;20.97;13.63;8.6;9.69;8.74;6.74;68.22;22.61;3.1;2.41;2.3;3.28;5.24;13.74;1.42;26;8;30;16;14;20;15;28;5;13;6;33;5;17.5;18;10;6;8;5;;;15;7
NO2;uur;µg/m³;20130719 23:00;20130720 00:00;18.1;21.7;27.8;15.4;16.7;8.4;14;22;21.5;8.6;4;;9.2;21.05;7.51;16.23;9.87;;;14.61;13.8;10.29;16.96;8.64;9.46;;9.15;15.79;12.94;11.51;7.31;;20.52;17.76;14.18;8.46;6.22;24.01;17.77;;21.14;2.3;6.21;;3.22;3.22;7;7.86;20.13;10.85;13.14;10.36;6.62;8.12;57.33;23.35;3.46;1.66;;3.5;4.8;5.55;1.71;24;6;26;14;21;18;9;23;4;5;5;40;4;21.5;26.1;13;6;12;5;;;14.2;6.6
NO2;uur;µg/m³;20130720 00:00;20130720 01:00;20.5;25.5;25.9;14.2;17.3;10.7;10.7;25.4;17;10.6;2.5;;10.94;26.27;7.55;12.23;10.37;;;15.9;12.67;11.32;12.19;10.13;10.17;;9.19;11.11;13.93;14;8.31;;20.52;15.48;15.5;10.16;20.95;25.49;15.64;;15.79;2.01;4.49;;4.9;3.28;6.4;9.96;11.87;6.49;8.66;8.65;6.15;8.31;57.91;18.06;3.88;2.98;2.02;;;2.79;1.53;20;4;21;9;14;17;5;20;3;5;4;40;3;13;11;18;4;6;3;;;13;6.5
NO2;uur;µg/m³;20130720 01:00;20130720 02:00;18;32.2;42.7;8.6;11.1;12.5;11.7;28.1;16.6;13.8;6.5;;11.44;13.59;7.92;12.8;11.25;;;17.63;10.03;10.09;11.36;9.05;9.76;;12.99;12.05;11.45;23.11;8.8;;17.62;13.44;13.15;13.59;9.49;19.48;15.52;;12.48;0.98;4.51;;3.99;2.18;5.93;4.04;7.74;3.41;4.86;8.74;9.17;6.97;53.28;13.86;3.57;3.12;1.35;;;4.08;2.16;23;2;26;13;10;25;9;23;0;10;4;24;3;12;10;8;2;3;2;;;17.1;6.8
NO2;uur;µg/m³;20130720 02:00;20130720 03:00;23.7;27.9;19.5;7.1;11.3;9.9;10.8;15.4;14.5;10.7;2.9;;10.19;20.38;9.44;12.21;12;;;16.25;9.89;10.22;10.79;10.87;8.58;;13.04;11.32;12.06;22.7;4.63;;14.93;10.94;10.83;14.98;5.11;14.06;10.97;;11.12;3.41;4.29;;3.1;2.51;3.6;4.51;7.57;6.38;5.43;6.62;8.47;8.04;64.48;28.91;4.86;2.15;1.81;;;10.07;1.13;19;2;17;8;11;16;6;20;0;7;2;31;2;11;9;8;2;7;1;;;15.2;7.2
NO2;uur;µg/m³;20130720 03:00;20130720 04:00;18;22.8;27.7;5.9;9.5;9.8;7.2;13.2;13.2;6.8;3;;11.28;26.76;10.51;12.05;11.41;;;15.59;11.03;11.28;13.42;8.86;4.71;;12.73;12.32;11.24;23.9;3.7;;14.4;7.4;10.92;17.03;10.12;10.79;7.44;;10.98;1.36;4.91;;3.38;2.09;2.93;4.81;6.51;4.24;6.26;6.7;6.56;8.17;52.06;21.15;2.94;2.02;2.17;;;3.06;1.12;15;1;15;5;4;15;1;22;0;6;3;29;2;11;10;8;2;7;2;;;16.2;6
NO2;uur;µg/m³;20130720 04:00;20130720 05:00;17.4;23.6;38.2;6.7;9.7;8.9;8.2;16.7;12;8.1;4.5;;14;27.54;10.65;14.99;11.41;;;15.41;10.17;9.62;13.29;10.77;3.24;;12.22;15.38;8.47;21.96;3.41;;11.08;10.49;14.72;11.3;11.56;13.89;8.65;;8.7;2.18;3.72;;3.26;2.18;2.71;5.58;4.5;4.12;5.44;7.46;5.01;5.6;41.16;14.74;2.66;1.97;1.1;;;2.61;1.44;12;2;16;6;6;12;1;19;0;4;2;17;1;12.5;10;6;1;4;1;;;11.8;6.3
NO2;uur;µg/m³;20130720 05:00;20130720 06:00;12.9;25.7;34.6;8.8;9.5;8.6;9.4;21.4;15.3;10;2.9;;13.16;20.28;12.53;24.92;14.31;;;13.05;8.94;8.73;13.88;11.92;8.54;;11.35;11.49;9.03;15.2;2.34;;14.74;11.35;12.68;17.49;1.81;11.46;8.66;;8.49;1.88;2.69;;2.52;1.81;2.01;4.85;8.21;4.08;5.93;7.53;3.64;3.52;32.34;15.65;2.22;2.07;2.29;;;4.32;1.51;21;3;25;9;9;9;4;16;1;1;2;8;1;13.1;6;6;1;3;1;;;17.6;7.7
NO2;uur;µg/m³;20130720 06:00;20130720 07:00;17.1;24.8;28.3;9.7;10.3;7.3;8.3;15.1;13.4;7.9;6.7;;10.36;21.4;11.06;17.93;16.17;;;13.46;7.34;10.32;12.24;16.34;8.34;;13.16;9.8;10.45;13.14;2.69;;13.05;12.98;7.36;12.74;5.5;10.99;6.07;;14.53;1.96;3.98;;2.56;2.51;2.99;5.18;10.63;9.15;6.98;7.9;2.73;3.27;46.04;16.63;3.42;3.25;1.85;;;5.47;2.23;15;5;31;10;9;11;6;29;2;1;4;22;2;18.1;14.5;;3;5;2;;;12.9;7.6
NO2;uur;µg/m³;20130720 07:00;20130720 08:00;13.1;22.6;18.1;14.2;10.9;3.7;7.7;13.4;13.6;7.4;4.9;;7.98;11.06;10.45;17.8;13.42;;;7.67;8.74;10.68;10.62;10.29;4.43;;12.8;7.59;8.35;15.14;5.25;;16.04;13.39;5.83;9.73;8.66;12.88;10.65;;21.02;1.8;8.23;;4.25;3.19;11.17;4.68;10.8;9.33;6.55;6.64;2.97;2.84;29.63;;3.64;3.1;1.95;;;5.8;1.76;18;4;39;12;8;15;10;26;2;3;5;24;2;19.6;11.5;10;4;5;3;;;12.3;7.1
NO2;uur;µg/m³;20130720 08:00;20130720 09:00;11.9;15.2;14.2;9.7;8.9;8.4;7.8;17.4;15.2;10.5;4.7;;4.48;4.79;10.24;16.21;11.89;;;4.76;7.79;13.42;13.66;8.57;3.58;;10.5;5.28;8.05;12.97;6.62;;12.76;14.68;9.32;8.88;3.68;15.51;16.84;;23.7;2.81;11.73;;3.25;4.41;8.9;5.94;11.27;4.06;7.65;5.84;4.33;3.01;43.62;;3.16;2.37;2.81;;;5.15;1.72;25;4;39;15;8;25;13;22;2;3;4;28;3;15.1;9.5;10;4;4;3;;;15.1;6.9
NO2;uur;µg/m³;20130720 09:00;20130720 10:00;13.9;17.6;12.5;13.5;12.1;7.9;9.8;15.3;17.3;11.8;4.4;;5.47;4.29;10.9;20.54;12.75;;;7.8;5.59;12.58;11.98;8.94;4.07;;12.12;5.11;9.22;13.17;7.8;;12.51;12.19;9.64;8.42;5.71;19.81;10.85;;31.29;1.85;11.88;;4.33;3.39;5.59;5.9;10.71;5.01;6.37;6.42;3.45;3.27;36.19;;2.29;2.61;1.71;;;10.33;2.26;17;4;53;10;9;29;8;19;2;2;5;30;3;20.6;18.1;9;7;6;5;;;18.1;7
NO2;uur;µg/m³;20130720 10:00;20130720 11:00;13.7;22;15.3;14.2;10.3;7.7;11;13.2;16.8;11.3;2.9;;5.92;3.83;8.15;21.54;13.36;;;7.1;5.62;21.84;12.64;8.68;3.67;;6.42;4.51;7.61;9.17;7.8;;12.27;13.58;6.74;7.24;4.66;22.1;8.01;;31.23;1.34;9.09;;3.84;9.8;6.78;5.71;15.25;4.24;6.55;8.58;3.19;3.6;32.07;;2.09;2.06;2.42;;;9.4;2.65;13;4;52;10;7;34;5;22;2;6;7;15;6.5;24.1;23.6;8;6;7;6;;;17.8;6.7
NO2;uur;µg/m³;20130720 11:00;20130720 12:00;17.1;25.1;19.4;16.1;12.1;7.7;11.8;15.8;24.4;10.4;2.5;;6.38;2.97;4.92;22.8;11.84;;;4.7;5.48;17.5;15.56;9.74;3.46;;8.22;5.64;9.15;8.33;6.23;;12.33;16.55;6.68;7.99;2.82;19.07;9.65;;29.76;1.94;6.58;;2.6;2.6;2.94;5.69;13.96;2.59;6.46;7.36;4.44;2.95;59.35;14.98;2.75;2.41;2.58;;;5.73;1.79;14;3;45;12;7;25;8;17;2;4;5;12;4;19.1;20.1;12;5;8;5;;;19.6;6.4
NO2;uur;µg/m³;20130720 12:00;20130720 13:00;21.3;21.6;12.1;13.1;10.9;5.7;7.3;16.6;18.4;10.4;3.2;;8.35;3.8;5.47;22.64;12.86;;;5.09;5.35;21;17.3;5.39;3.83;;8.69;4.05;9.03;9.33;6.72;;10.51;13.39;6.89;7.22;2.46;27.35;9.42;;30.15;1.79;8.99;;2.59;2.8;2.66;5.08;13.93;3.34;6.23;6.42;4.17;2.66;30.05;7.8;2.35;2.27;2.54;;;4.05;1.41;14;3;39;9;7;21;10;13;1;0;3;12;3;14.1;14.1;8;5;5;4;;;11.9;7.2
NO2;uur;µg/m³;20130720 13:00;20130720 14:00;22.1;18.5;12.4;14.1;9.8;5.6;6.9;11.7;18.1;10.5;2.4;;9.14;3.85;5.9;19.16;10.07;;;4.99;6.24;21.06;15.35;6.91;4.34;;9.74;5.24;9.33;8.43;6.46;;9.81;13.05;5.43;6.63;2.78;21.74;8.72;;22.59;1.91;8.67;;2.55;10.66;2.77;7.26;15.3;3.7;6.71;5.78;4.07;3.1;27.28;6.97;3.2;1.81;2.47;;;8.26;1.64;21;4;41;13;6;31;9;;2;0;4;14;4;14.1;12.1;6;5;6;4;;;13.6;7.7
NO2;uur;µg/m³;20130720 14:00;20130720 15:00;23.4;17.1;12.5;13.2;8.9;6.1;4.8;10.4;16.4;8.1;2.5;;8.19;3.1;10.26;25.06;15.14;;;6.45;6.81;24.87;13.41;8.45;4.65;;7.68;4.06;9.49;5.78;5.4;;9.31;9.29;4.98;5.79;5.21;21.97;7.47;;24.99;2.1;7.12;;2.57;4.62;3.81;4.72;10.69;2.38;6.84;5.95;3.67;3.77;32.67;8.15;2.81;2.03;2;;;7.65;1.88;21;3;42;15;6;34;13;17;2;3;3;11;7.5;13.1;15.1;7;4;5;4;;;14.7;8.2
NO2;uur;µg/m³;20130720 15:00;20130720 16:00;18.4;16.6;14.9;15.4;8.3;6.2;5.8;10.3;17.8;6.7;2.5;;9.82;3.54;11.03;25.01;15.52;;;8.2;6.92;17.77;16.17;8.19;5.44;;5.38;4.42;11.6;8.21;7;;11.35;5.13;5.15;5.78;4.66;24.43;4.07;;27.04;1.97;7.49;;2.69;2.45;3;7.7;13.01;2.73;6.21;6.2;3.17;3.21;30.06;7.99;4.2;2.04;1.99;;;27.29;2.49;26;4;39;10;6;34;12;16;1;3;3;14;8.5;13.1;9.5;7;3;4;4;;;18.5;7.6
